RGID,Solar_radi,Worldclim_
0,1255.35,2.216667
0,1394.78,-1.525
0,1363.89,4.995833
0,1292.06,0.095833
0,1309.01,-3.4375
0,1405.01,2.825
0,1406.53,-2.1125
0,1269.03,-0.941667
0,1417.21,0.316667
0,1423.72,1.3875
0,1301.6,1.779167
0,1401.69,0.279167
0,1150.75,-0.258333
0,1333.84,-0.7125
0,1394.78,-1.525
0,1185.6,2.020833
0,1405.63,-5.204167
0,1309.51,1.745833
0,1374.39,-3.866667
0,1417.22,-2.404167
0,1417.22,-2.404167
0,1404.38,2.6125
0,1345.15,-0.695833
0,1443.08,-2.441667
0,1358,-0.425
0,1269.02,2.308333
0,1284.3,3.329167
0,1219.42,3.1875
0,1285.21,1.616667
0,1403.75,0.870833
